wrestler 1,wrestler 1 id,wrestler 1 nationality,wrestler 2,wrestler 2 id,wrestler 2 nationality,current champion,winner,match ending,card order,title,match type,date,show name,location,W1 Age,W1 PPV Matches,W1 PPV Wins,W1 PPV DQ Wins,W1 PPV Pin Wins,W1 PPV Sub Wins,W1 PPV Losses,W1 PPV DQ Losses,W1 PPV Pin Losses,W1 PPV Sub Losses,W1 PPV Draws,W1 PPV Streak,W1 PPV Championship Wins,W1 PPV Championship Losses,W1 PPV Championship Defense Wins,W1 PPV Championship Defense Losses,W1 PPV Championship Challenge Wins,W1 PPV Championship Challenge Losses,W1 Last PPV Match,W1 H2H PPV Matches,W1 H2H PPV Wins,W1 H2H PPV DQ Wins,W1 H2H PPV Pin Wins,W1 H2H PPV Sub Wins,W1 H2H PPV Losses,W1 H2H PPV DQ Losses,W1 H2H PPV Pin Losses,W1 H2H PPV Sub Losses,W1 H2H PPV Draws,W1 H2H PPV Streak,W1 H2H PPV Championship Wins,W1 H2H PPV Championship Losses,W1 H2H PPV Championship Defense Wins,W1 H2H PPV Championship Defense Losses,W1 H2H PPV Championship Challenge Wins,W1 H2H PPV Championship Challenge Losses,W1 H2H Last PPV Match,W1 PWI Ranking,W1 PWI Change,W2 Age,W2 PPV Matches,W2 PPV Wins,W2 PPV DQ Wins,W2 PPV Pin Wins,W2 PPV Sub Wins,W2 PPV Losses,W2 PPV DQ Losses,W2 PPV Pin Losses,W2 PPV Sub Losses,W2 PPV Draws,W2 PPV Streak,W2 PPV Championship Wins,W2 PPV Championship Losses,W2 PPV Championship Defense Wins,W2 PPV Championship Defense Losses,W2 PPV Championship Challenge Wins,W2 PPV Championship Challenge Losses,W2 Last PPV Match,W2 PPV Matches,W2 H2H PPV Wins,W2 H2H PPV DQ Wins,W2 H2H PPV Pin Wins,W2 H2H PPV Sub Wins,W2 H2H PPV Losses,W2 H2H PPV DQ Losses,W2 H2H PPV Pin Losses,W2 H2H PPV Sub Losses,W2 H2H PPV Draws,W2 H2H PPV Streak,W2 H2H PPV Championship Wins,W2 H2H PPV Championship Losses,W2 H2H PPV Championship Defense Wins,W2 H2H PPV Championship Defense Losses,W2 H2H PPV Championship Challenge Wins,W2 H2H PPV Championship Challenge Losses,W2 H2H Last PPV Match,W2 PWI Ranking,W2 PWI Change
Tito Santana,1,USA,The Executioner,2981,USA,None,true,sub,1,"","",1985-03-31,WrestleMania,New York,31.912328767123288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,32.36164383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Ricky Steamboat,5,USA,Matt Borne,6,USA,None,true,pin,3,"","",1985-03-31,WrestleMania,New York,32.106849315068494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,27.695890410958903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
David Sammartino,7,USA,Brutus Beefcake,8,USA,None,false,DDQ,4,"","",1985-03-31,WrestleMania,New York,24.517808219178082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,26.96164383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Junkyard Dog,9,USA,Greg Valentine,10,USA,Wrestler 2,true,CO,5,WWF Intercontinental Title,"",1985-03-31,WrestleMania,New York,32.31780821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,33.55068493150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Andre the Giant,15,FRA,Big John Studd,16,USA,None,true,,7,"","$15,000 bodyslam",1985-03-31,WrestleMania,New York,38.893150684931506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,37.136986301369866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Wendi Richter,17,USA,Leilani Kai,18,USA,Wrestler 2,true,pin,8,WWF Women's Title,"",1985-03-31,WrestleMania,New York,23.58082191780822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,25.263013698630136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Adrian Adonis,24,USA,Corporal Kirchner,25,USA,None,true,pin,1,"","",1985-11-07,The Wrestling Classic,Rosemont,31.167123287671235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,28.186301369863013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Dynamite Kid,26,ENG,Nikolai Volkoff,11,YUG,None,true,pin,2,"","",1985-11-07,The Wrestling Classic,Rosemont,26.942465753424656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,38.09315068493151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Randy Savage,27,USA,Ivan Putski,28,POL,None,true,pin,3,"","",1985-11-07,The Wrestling Classic,Rosemont,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,44.827397260273976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Ricky Steamboat,5,USA,Davey Boy Smith,29,ENG,None,true,,4,"","",1985-11-07,The Wrestling Classic,Rosemont,32.71232876712329,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,22.958904109589042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Junkyard Dog,9,USA,The Iron Sheik,12,IRN,None,true,pin,5,"","",1985-11-07,The Wrestling Classic,Rosemont,32.92328767123288,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1985-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,42.68219178082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Moondog Spot,30,USA,Terry Funk,31,USA,None,true,CO,6,"","",1985-11-07,The Wrestling Classic,Rosemont,33.86027397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,41.38356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Tito Santana,1,USA,Don Muraco,32,USA,None,true,pin,7,"","",1985-11-07,The Wrestling Classic,Rosemont,32.51780821917808,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1985-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,36.18356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Paul Orndorff,22,USA,Bob Orton Jr.,33,USA,None,true,DQ,8,"","",1985-11-07,The Wrestling Classic,Rosemont,36.04931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,35.016438356164386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Dynamite Kid,26,ENG,Adrian Adonis,24,USA,None,true,pin,9,"","",1985-11-07,The Wrestling Classic,Rosemont,26.942465753424656,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.167123287671235,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Randy Savage,27,USA,Ricky Steamboat,5,USA,None,true,pin,10,"","",1985-11-07,The Wrestling Classic,Rosemont,33.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,32.71232876712329,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Junkyard Dog,9,USA,Moondog Spot,30,USA,None,true,pin,11,"","",1985-11-07,The Wrestling Classic,Rosemont,32.92328767123288,2,2,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,33.86027397260274,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Tito Santana,1,USA,Paul Orndorff,22,USA,None,false,DCO,12,"","",1985-11-07,The Wrestling Classic,Rosemont,32.51780821917808,2,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,36.04931506849315,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
